Country,Year,Gender,Cause of death,Age/All age,Age/0-4,Age/5-14,Age/15-59,Age/60+,Country Code,
India,2019,Male,CDM,21.8%,85.4%,57.2%,19.1%,12.9%,IND,
Indonesia,2019,Male,CDM,19.1%,79.2%,50.6%,20.6%,10.8%,IDN,
"Iran, Islamic Rep.",2019,Male,CDM,7.8%,68.0%,10.9%,6.0%,3.7%,IRN,
Iraq,2019,Male,CDM,14.7%,71.4%,11.7%,2.0%,2.0%,IRQ,
Ireland,2019,Male,CDM,5.3%,44.0%,4.1%,2.4%,5.4%,IRL,
Isle of Man,2019,Male,CDM,N/A,N/A,N/A,N/A,N/A,IMN,
Israel,2019,Male,CDM,10.0%,40.4%,2.6%,5.8%,10.1%,ISR,
Italy,2019,Male,CDM,5.2%,53.4%,4.5%,4.3%,5.1%,ITA,
Jamaica,2019,Male,CDM,10.5%,71.0%,9.3%,22.7%,3.7%,JAM,
Japan,2019,Male,CDM,10.2%,28.9%,7.8%,3.6%,10.7%,JPN,
Jordan,2019,Male,CDM,10.1%,61.4%,6.6%,2.4%,2.9%,JOR,
Kazakhstan,2019,Male,CDM,5.9%,62.6%,9.5%,5.7%,2.7%,KAZ,
Kenya,2019,Male,CDM,47.9%,81.6%,68.6%,43.9%,24.1%,KEN,
Kiribati,2019,Male,CDM,20.8%,78.1%,47.3%,11.2%,10.2%,KIR,
"Korea, Dem. People's Rep.",2019,Male,CDM,14.8%,73.9%,31.7%,23.7%,6.2%,PRK,
"Korea, Rep.",2019,Male,CDM,11.7%,53.9%,5.5%,4.5%,13.4%,KOR,
Kosovo,2019,Male,CDM,N/A,N/A,N/A,N/A,N/A,XKX,
Kuwait,2019,Male,CDM,6.3%,45.8%,7.7%,3.3%,6.2%,KWT,
Kyrgyz Republic,2019,Male,CDM,11.4%,73.6%,18.1%,7.4%,1.8%,KGZ,
Lao PDR,2019,Male,CDM,25.4%,76.4%,35.9%,16.9%,11.3%,LAO,
Latvia,2019,Male,CDM,3.7%,48.9%,5.2%,6.8%,2.6%,LVA,
Lebanon,2019,Male,CDM,5.6%,53.8%,14.7%,3.2%,5.0%,LBN,
Lesotho,2019,Male,CDM,42.4%,82.7%,69.9%,40.4%,25.3%,LSO,
Liberia,2019,Male,CDM,59.6%,87.1%,52.4%,51.5%,29.7%,LBR,
Libya,2019,Male,CDM,11.0%,59.7%,10.7%,11.5%,4.8%,LBY,
Liechtenstein,2019,Male,CDM,N/A,N/A,N/A,N/A,N/A,LIE,
Lithuania,2019,Male,CDM,3.9%,32.2%,0.7%,5.7%,3.3%,LTU,
Luxembourg,2019,Male,CDM,5.0%,48.6%,N/A,3.2%,5.2%,LUX,
"Macao SAR, China",2019,Male,CDM,N/A,N/A,N/A,N/A,N/A,MAC,
Madagascar,2019,Male,CDM,46.1%,86.0%,66.2%,36.9%,20.9%,MDG,
Malawi,2019,Male,CDM,48.4%,82.3%,58.3%,42.9%,26.5%,MWI,
Malaysia,2019,Male,CDM,18.3%,52.2%,22.8%,18.1%,17.1%,MYS,
Maldives,2019,Male,CDM,7.4%,56.9%,29.2%,5.4%,5.0%,MDV,
Mali,2019,Male,CDM,61.0%,87.5%,59.7%,33.4%,23.1%,MLI,
Malta,2019,Male,CDM,6.2%,49.6%,6.2%,3.0%,6.1%,MLT,
Marshall Islands,2019,Male,CDM,N/A,N/A,N/A,N/A,N/A,MHL,
Mauritania,2019,Male,CDM,55.1%,84.7%,47.3%,32.9%,26.7%,MRT,
Mauritius,2019,Male,CDM,7.3%,67.3%,11.7%,10.0%,4.4%,MUS,
Mexico,2019,Male,CDM,9.1%,58.5%,10.5%,6.9%,6.7%,MEX,
"Micronesia, Fed. Sts.",2019,Male,CDM,11.9%,76.9%,36.2%,7.1%,5.3%,FSM,
Moldova,2019,Male,CDM,6.0%,63.1%,9.8%,10.6%,2.7%,MDA,
Monaco,2019,Male,CDM,N/A,N/A,N/A,N/A,N/A,MCO,
Mongolia,2019,Male,CDM,6.3%,67.2%,17.1%,4.4%,1.5%,MNG,
Montenegro,2019,Male,CDM,1.6%,78.3%,15.3%,1.5%,1.3%,MNE,
Morocco,2019,Male,CDM,9.5%,72.6%,14.1%,6.7%,4.4%,NOV,
Mozambique,2019,Male,CDM,52.4%,86.4%,61.8%,45.9%,22.0%,MOZ,
Myanmar,2019,Male,CDM,22.3%,79.7%,50.0%,20.4%,10.3%,MMR,
Namibia,2019,Male,CDM,43.7%,80.0%,54.5%,45.5%,22.8%,NAM,
Nauru,2019,Male,CDM,N/A,N/A,N/A,N/A,N/A,NRU,
Nepal,2019,Male,CDM,25.6%,80.2%,46.7%,29.3%,14.4%,NPL,
Netherlands,2019,Male,CDM,5.5%,54.4%,3.0%,3.0%,5.5%,NLD,
New Caledonia,2019,Male,CDM,N/A,N/A,N/A,N/A,N/A,NCL,
New Zealand,2019,Male,CDM,3.8%,49.7%,1.5%,2.3%,3.5%,NZL,
Nicaragua,2019,Male,CDM,9.3%,66.9%,15.7%,4.9%,4.5%,NIC,
Niger,2019,Male,CDM,58.3%,86.1%,55.6%,32.0%,26.7%,NER,
Nigeria,2019,Male,CDM,65.2%,86.7%,58.9%,51.3%,24.9%,NGA,
North Macedonia,2019,Male,CDM,1.4%,73.3%,6.6%,1.4%,0.9%,MKD,
Northern Mariana Islands,2019,Male,CDM,N/A,N/A,N/A,N/A,N/A,MNP,
Norway,2019,Male,CDM,7.0%,50.1%,2.7%,2.6%,7.3%,NOR,
Oman,2019,Male,CDM,9.5%,48.6%,16.2%,7.0%,7.1%,OMN,
Pakistan,2019,Male,CDM,33.1%,85.6%,63.0%,16.3%,12.5%,PAK,
Palau,2019,Male,CDM,N/A,N/A,N/A,N/A,N/A,PLW,
Panama,2019,Male,CDM,13.6%,63.4%,13.6%,17.8%,7.5%,PAN,
Papua New Guinea,2019,Male,CDM,28.9%,83.3%,50.9%,21.9%,10.3%,PNG,
Paraguay,2019,Male,CDM,13.4%,63.8%,12.7%,10.2%,8.8%,PRY,
Peru,2019,Male,CDM,17.0%,57.0%,18.8%,14.0%,14.8%,PER,
Philippines,2019,Male,CDM,23.3%,78.0%,41.2%,15.9%,19.0%,PHL,
Poland,2019,Male,CDM,6.0%,48.5%,8.0%,4.9%,6.0%,POL,
Portugal,2019,Male,CDM,8.3%,59.3%,3.7%,6.8%,8.4%,PRT,
Puerto Rico,2019,Male,CDM,N/A,N/A,N/A,N/A,N/A,PRI,
Qatar,2019,Male,CDM,4.1%,49.0%,9.1%,2.7%,2.7%,QAT,
Romania,2019,Male,CDM,6.0%,59.9%,15.3%,8.3%,5.0%,ROU,
Russian Federation,2019,Male,CDM,5.1%,47.9%,7.8%,9.8%,2.3%,RUS,
Rwanda,2019,Male,CDM,37.8%,77.4%,52.9%,29.3%,20.5%,RWA,
Samoa,2019,Male,CDM,9.8%,71.0%,40.5%,5.1%,4.8%,WSM,
San Marino,2019,Male,CDM,N/A,N/A,N/A,N/A,N/A,SMR,
Sao Tome and Principe,2019,Male,CDM,31.9%,75.0%,33.4%,22.5%,16.9%,STP,
Saudi Arabia,2019,Male,CDM,6.3%,52.3%,7.7%,5.1%,5.5%,SAU,
Senegal,2019,Male,CDM,44.8%,79.1%,49.7%,34.3%,22.8%,SEN,
Serbia,2019,Male,CDM,3.0%,63.7%,5.6%,3.4%,2.6%,SRB,
Seychelles,2019,Male,CDM,13.4%,56.2%,25.5%,10.4%,13.1%,SYC,
Sierra Leone,2019,Male,CDM,58.1%,85.5%,56.7%,40.6%,27.9%,SLE,
Singapore,2019,Male,CDM,19.2%,39.5%,41.1%,7.6%,22.6%,SGP,
Sint Maarten (Dutch part),2019,Male,CDM,N/A,N/A,N/A,N/A,N/A,SXM,
Slovak Republic,2019,Male,CDM,5.4%,50.4%,9.3%,3.9%,5.4%,SVK,
Slovenia,2019,Male,CDM,2.0%,56.4%,0.0%,0.7%,2.1%,SVN,
Solomon Islands,2019,Male,CDM,20.7%,75.7%,36.1%,13.7%,16.6%,SLB,
Somalia,2019,Male,CDM,58.1%,88.4%,62.1%,39.8%,28.5%,SOM,
South Africa,2019,Male,CDM,34.8%,78.3%,62.0%,39.1%,15.0%,ZAF,
South Sudan,2019,Male,CDM,60.1%,86.2%,64.6%,51.6%,29.6%,SSD,
Spain,2019,Male,CDM,5.4%,52.7%,4.0%,4.7%,5.4%,ESP,
Sri Lanka,2019,Male,CDM,9.0%,58.9%,19.5%,8.1%,8.1%,LKA,
St. Kitts and Nevis,2019,Male,CDM,N/A,N/A,N/A,N/A,N/A,KNA,
St. Lucia,2019,Male,CDM,7.6%,69.1%,10.5%,4.0%,6.3%,LCA,
St. Martin (French part),2019,Male,CDM,N/A,N/A,N/A,N/A,N/A,MAF,
St. Vincent and the Grenadines,2019,Male,CDM,13.1%,52.0%,3.0%,13.8%,11.3%,VCT,
Sudan,2019,Male,CDM,36.4%,80.7%,35.4%,20.1%,8.7%,SDN,
Suriname,2019,Male,CDM,12.4%,67.7%,14.5%,14.8%,7.0%,SUR,
Sweden,2019,Male,CDM,5.7%,51.4%,6.9%,2.5%,5.9%,SWE,
Switzerland,2019,Male,CDM,4.5%,45.2%,2.4%,2.8%,4.4%,CHE,
Syrian Arab Republic,2019,Male,CDM,11.3%,69.7%,22.1%,2.7%,2.7%,SYR,
Tajikistan,2019,Male,CDM,20.2%,76.8%,23.8%,10.3%,3.9%,TJK,
Tanzania,2019,Male,CDM,54.2%,80.8%,61.4%,48.8%,27.1%,TZA,
Thailand,2019,Male,CDM,14.0%,56.9%,18.2%,15.0%,12.6%,THA,
Timor-Leste,2019,Male,CDM,41.5%,81.1%,46.7%,38.9%,23.9%,TLS,
Togo,2019,Male,CDM,46.9%,86.8%,49.7%,31.4%,24.3%,TGO,
Tonga,2019,Male,CDM,9.5%,56.9%,14.5%,7.1%,6.6%,TON,
Trinidad and Tobago,2019,Male,CDM,6.3%,61.4%,17.4%,6.7%,3.3%,TTO,
Tunisia,2019,Male,CDM,7.3%,65.6%,11.8%,5.3%,3.6%,TUN,
Turkiye,2019,Male,CDM,5.0%,50.7%,11.1%,2.7%,3.6%,TUR,
Turkmenistan,2019,Male,CDM,24.3%,75.2%,24.6%,26.4%,3.4%,TKM,
Turks and Caicos Islands,2019,Male,CDM,N/A,N/A,N/A,N/A,N/A,TCA,
Tuvalu,2019,Male,CDM,N/A,N/A,N/A,N/A,N/A,TUV,
Uganda,2019,Male,CDM,50.2%,83.6%,56.6%,38.0%,21.4%,UGA,
Ukraine,2019,Male,CDM,4.0%,60.9%,13.1%,9.4%,1.1%,UKR,
United Arab Emirates,2019,Male,CDM,6.4%,50.7%,12.6%,3.7%,8.0%,ARE,
United Kingdom,2019,Male,CDM,7.6%,56.8%,9.4%,4.5%,7.6%,GBR,
United States,2019,Male,CDM,5.1%,50.4%,4.9%,3.8%,4.9%,USA,
Uruguay,2019,Male,CDM,6.8%,47.2%,2.4%,7.3%,6.1%,URY,
Uzbekistan,2019,Male,CDM,8.7%,66.2%,30.8%,6.2%,1.8%,UZB,
Vanuatu,2019,Male,CDM,14.6%,72.4%,27.5%,7.5%,8.2%,VUT,
"Venezuela, RB",2019,Male,CDM,14.1%,68.3%,10.9%,11.5%,9.1%,VEN,
Vietnam,2019,Male,CDM,9.9%,66.7%,32.3%,8.7%,5.9%,VNM,
Virgin Islands (U.S.),2019,Male,CDM,N/A,N/A,N/A,N/A,N/A,VIR,
West Bank and Gaza,2019,Male,CDM,N/A,N/A,N/A,N/A,N/A,PSE,
"Yemen, Rep.",2019,Male,CDM,29.4%,80.6%,21.4%,8.2%,6.5%,YEM,
Zambia,2019,Male,CDM,54.4%,83.7%,67.8%,46.6%,22.9%,ZMB,
Zimbabwe,2019,Male,CDM,48.3%,79.1%,54.0%,45.9%,27.2%,ZWE,
